Temperatura_C,Humedad_Relativa_Porc,Radiacion_Solar_W_m2,Velocidad_Viento_kmh,Presion_Atmosferica_hPa,Nivel_CO2_ppm,Presencia_Hongo,Porcentaje_Plantas_Afectadas
15.7,75.2,124.0,3.86,1011.4,389.0,0,0.0
21.5,85.2,122.0,4.48,1012.8,397.0,0,0.0
19.3,94.4,234.0,1.75,1012.6,435.0,0,0.0
18.0,90.5,122.0,3.62,1008.9,384.0,1,48.7
13.6,92.6,126.0,3.36,1008.9,437.0,0,0.0
13.6,88.4,209.0,4.66,1009.6,359.0,0,0.0
12.6,89.4,156.0,5.03,1010.2,428.0,0,0.0
20.7,93.8,212.0,0.56,1010.5,435.0,0,0.0
18.0,77.0,91.0,3.87,1012.1,368.0,0,0.0
19.1,83.7,163.0,0.76,1008.3,393.0,0,0.0
12.2,76.2,86.0,3.24,1008.2,367.0,0,0.0
21.7,97.7,91.0,1.94,1010.4,421.0,0,0.0
20.3,96.4,234.0,2.03,1012.2,404.0,0,0.0
14.1,71.1,104.0,2.26,1009.2,414.0,0,0.0
13.8,89.8,171.0,3.61,1011.8,370.0,0,0.0
13.8,95.9,150.0,2.17,1009.6,371.0,0,0.0
15.0,75.1,139.0,4.16,1013.3,354.0,0,0.0
17.2,85.9,233.0,2.52,1013.4,382.0,1,18.0
16.3,95.6,84.0,0.84,1009.8,406.0,1,81.2
14.9,71.0,193.0,4.42,1009.4,436.0,0,0.0
18.1,89.5,244.0,1.93,1010.5,417.0,0,0.0
13.4,78.3,175.0,2.66,1009.4,394.0,0,0.0
14.9,95.9,239.0,3.93,1012.0,445.0,0,0.0
15.7,97.2,89.0,2.16,1013.0,422.0,1,85.5
16.6,96.4,151.0,0.78,1012.0,443.0,1,80.5
19.9,83.3,124.0,2.37,1012.9,403.0,0,0.0
14.0,94.1,204.0,5.22,1010.4,376.0,0,0.0
17.1,93.6,247.0,3.71,1008.9,355.0,1,62.9
17.9,78.9,124.0,3.86,1012.4,423.0,0,0.0
12.5,93.2,191.0,3.66,1010.2,362.0,0,0.0
18.1,71.0,114.0,1.49,1012.0,380.0,0,0.0
13.7,86.7,176.0,2.59,1009.6,403.0,0,0.0
12.7,76.4,159.0,4.25,1008.5,406.0,0,0.0
21.5,73.4,245.0,1.01,1014.0,410.0,0,0.0
21.7,72.2,183.0,1.89,1008.9,367.0,0,0.0
20.1,89.5,139.0,1.88,1013.9,388.0,0,0.0
15.0,79.5,99.0,2.66,1013.9,412.0,0,0.0
13.0,90.3,106.0,5.4,1012.8,447.0,0,0.0
18.8,71.8,118.0,0.84,1012.0,423.0,0,0.0
16.4,78.8,123.0,3.09,1011.5,442.0,0,0.0
13.2,85.1,225.0,1.4,1013.2,426.0,0,0.0
17.0,92.1,175.0,5.35,1009.7,409.0,1,53.1
12.3,78.9,169.0,1.07,1010.8,369.0,0,0.0
21.1,87.5,100.0,2.52,1011.7,417.0,0,0.0
14.6,94.8,226.0,4.19,1010.5,412.0,0,0.0
18.6,87.2,203.0,4.02,1010.6,410.0,0,0.0
15.1,76.5,92.0,2.61,1010.0,399.0,0,0.0
17.2,70.7,200.0,2.23,1011.4,403.0,0,0.0
17.5,94.4,172.0,2.49,1013.1,383.0,1,76.4
13.8,70.6,94.0,1.82,1009.2,402.0,0,0.0
21.7,94.5,158.0,1.53,1013.6,370.0,0,0.0
19.8,84.8,162.0,2.92,1012.1,431.0,0,0.0
21.4,96.3,108.0,1.84,1012.9,369.0,0,0.0
20.9,92.4,241.0,1.94,1011.3,358.0,0,0.0
18.0,97.9,224.0,3.78,1012.7,394.0,1,100.0
21.2,79.8,194.0,5.34,1008.1,416.0,0,0.0
12.9,91.5,159.0,3.52,1012.9,394.0,0,0.0
14.0,81.3,150.0,0.88,1008.2,378.0,0,0.0
12.5,83.4,191.0,0.88,1013.3,406.0,0,0.0
15.3,87.6,173.0,5.26,1014.0,385.0,1,32.5
15.9,94.5,91.0,1.99,1009.8,443.0,1,71.8
14.7,97.6,167.0,0.96,1009.3,442.0,0,0.0
20.3,91.5,217.0,3.5,1012.6,400.0,0,0.0
15.6,81.7,158.0,3.62,1009.5,383.0,0,0.0
14.8,81.8,89.0,3.74,1013.2,424.0,0,0.0
17.4,90.7,214.0,1.84,1008.6,354.0,1,52.1
13.4,76.7,114.0,0.58,1008.8,397.0,0,0.0
20.0,73.1,124.0,5.33,1013.9,384.0,0,0.0
12.7,79.9,108.0,1.75,1012.0,442.0,0,0.0
21.9,78.0,136.0,3.88,1013.1,351.0,0,0.0
19.7,78.3,209.0,4.03,1009.9,405.0,0,0.0
14.0,76.5,168.0,3.55,1012.1,424.0,0,0.0
12.1,71.2,115.0,2.06,1011.6,399.0,0,0.0
20.2,70.5,229.0,1.86,1011.6,359.0,0,0.0
19.1,97.7,230.0,3.49,1012.1,447.0,0,0.0
19.3,82.0,228.0,4.83,1011.5,402.0,0,0.0
19.7,80.8,121.0,5.23,1010.6,411.0,0,0.0
12.7,89.0,157.0,1.03,1009.7,374.0,0,0.0
15.6,76.1,247.0,1.27,1012.6,398.0,0,0.0
13.2,96.6,211.0,5.22,1009.4,393.0,0,0.0
20.6,92.0,85.0,4.18,1012.2,357.0,0,0.0
18.2,72.5,91.0,4.91,1009.4,361.0,0,0.0
15.3,81.7,159.0,1.51,1011.8,434.0,0,0.0
